# time(s),x(m),y(m),vx(m/s),vy(m/s),phi(rad),delta(rad),omega(rad/s),ax(m/s^2),deltadelta(rad/s),wheel_fl(kmph),wheel_fr(kmph),wheel_rl(kmph),wheel_rr(kmph),roll(rad),throttle_ped_cmd(%),brake_ped_cmd(kPa)
1672875115.41200042,-82.32597083,234.23123954,0.00023739,0.00276707,3.12610473,0.00063362,0.00018118,-0.00001488,-0.00395040,0.00000000,0.00000000,0.00000000,0.00000000,0.00000004,0.00000000,1378.94995117
1672875115.45200038,-82.32596329,234.23116537,0.00024823,0.00277221,3.12611553,0.00047560,0.00017884,-0.00001044,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000004,0.00000000,1378.94995117
1672875115.49200034,-82.32580687,234.23139067,0.00024818,0.00251204,3.12616303,0.00047560,0.00017561,-0.00001034,0.01189006,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000002,0.00000000,1378.94995117
1672875115.53200030,-82.32601626,234.23165545,0.00026193,0.00214262,3.12612263,0.00095120,0.00017219,-0.00000436,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000006,0.00000000,1378.94995117
1672875115.57200027,-82.32602302,234.23108801,0.00026252,0.00266281,3.12613047,0.00095120,0.00016528,-0.00000324,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000002,0.00000000,1378.94995117
1672875115.61200023,-82.32608221,234.23096903,0.00026578,0.00270211,3.12613089,0.00095120,0.00016850,-0.00000090,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001,0.00000000,1378.94995117
1672875115.65200019,-82.32634691,234.23077067,0.00027467,0.00277476,3.12607740,0.00095120,0.00016936,0.00000419,-0.00399519,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1378.94995117
1672875115.69200015,-82.32581056,234.23103854,0.00025219,0.00255424,3.12622689,0.00079140,0.00016826,-0.00000303,-0.00789487,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000004,0.00000000,1378.94995117
1672875115.73200011,-82.32500163,234.23163885,0.00022520,0.00205656,3.12644698,0.00047560,0.00017646,-0.00001236,-0.00402531,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000012,0.00000000,1378.94995117
1672875115.77200007,-82.32588827,234.23001685,0.00027451,0.00346892,3.12626564,0.00031459,0.00018147,0.00000992,0.01591536,0.00000000,0.00000000,0.00000000,0.00000000,0.00000015,0.00000000,1378.94995117
1672875115.81200004,-82.32630864,234.23016166,0.00029545,0.00312160,3.12616553,0.00095120,0.00019169,0.00002046,-0.01189006,0.00000000,0.00000000,0.00000000,0.00000000,0.00000002,0.00000000,1378.94995117
