# time(s),x(m),y(m),vx(m/s),vy(m/s),phi(rad),delta(rad),omega(rad/s),ax(m/s^2),deltadelta(rad/s),wheel_fl(kmph),wheel_fr(kmph),wheel_rl(kmph),wheel_rr(kmph),roll(rad),throttle_ped_cmd(%),brake_ped_cmd(kPa)
1692117187.46380758,173.57449753,-130.89986382,0.00027723,0.00650820,-1.45411896,0.00058119,0.00041847,-0.00000537,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89534058,0.00000000,1800.00073242
1692117187.50380754,173.57451237,-130.89986245,0.00239056,0.00741286,-1.45410048,0.00058119,0.00042122,-0.00000410,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89478063,0.00000000,1800.00073242
1692117187.54380751,173.57467022,-130.89981022,0.00137808,0.00811648,-1.45408158,0.00058119,0.00042456,-0.00000357,-0.01128403,0.00000000,0.00000000,0.00000000,0.00000000,0.89615839,0.00000000,1800.00073242
1692117187.58380747,173.57470825,-130.89952867,0.00240367,0.00656639,-1.45406413,0.00012983,0.00042489,-0.00000632,-0.00324583,0.00000000,0.00000000,0.00000000,0.00000000,0.89618356,0.00000000,1800.00073242
1692117187.62380743,173.57493245,-130.89947446,-0.00012796,0.00687230,-1.45404827,0.00000000,0.00042299,-0.00000514,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.89516768,0.00000000,1800.00073242
1692117187.66380739,173.57487483,-130.89960857,0.00212156,0.00820123,-1.45403434,0.00000000,0.00041913,-0.00000198,0.01129476,0.00000000,0.00000000,0.00000000,0.00000000,0.89657551,0.00000000,1800.00073242
1692117187.70380735,173.57486825,-130.89962946,0.00255337,0.00808190,-1.45402063,0.00045179,0.00041445,-0.00000123,0.00323510,0.00000000,0.00000000,0.00000000,0.00000000,0.89558133,0.00000000,1800.00073242
1692117187.74380732,173.57457266,-130.89982333,0.00088941,0.00647561,-1.45400913,0.00058119,0.00040774,0.00000099,-0.01135126,0.00000000,0.00000000,0.00000000,0.00000000,0.89534864,0.00000000,1800.00073242
1692117187.78380728,173.57460215,-130.89962862,0.00080328,0.00770133,-1.45399544,0.00012714,0.00040197,-0.00000178,0.00027656,0.00000000,0.00000000,0.00000000,0.00000000,0.89533045,0.00000000,1800.00073242
1692117187.82380724,173.57479178,-130.89965128,0.00149270,0.00859657,-1.45398265,0.00013821,0.00039713,-0.00000069,0.01408053,0.00000000,0.00000000,0.00000000,0.00000000,0.89562484,0.00000000,1800.00073242
